item ID#   item quantity     item description
p#035         19             orzo
p#125         21             electic saver
p#135         73                    electric toothbrush
p#145         36             gallon 1% milk 
p#155         24                chocolate milk
p#168            11             gum sticks
p#190      7             baseball shirt red sox
p#197         52             soda - Miscellaneous flavors
p#203         15                baseball bat Chicago White Sox
p#205         88             baseball cards
